seed,brain,catches_per_1000,thirst_deaths,hunger_deaths,avg_lifespan,first_catch
0,RBS,3.333333,0,0,3000.00,160
0,QL,6.666667,0,1,2762.67,183
0,MC,4.333333,0,2,1866.67,449
1,RBS,5.333333,0,0,3000.00,84
1,QL,4.333333,0,1,2433.33,168
1,MC,9.333333,1,1,2380.00,407
2,RBS,4.666667,0,1,2433.33,48
2,QL,8.333333,0,1,2355.33,72
2,MC,4.000000,2,1,1945.67,191
3,RBS,5.000000,0,0,3000.00,140
3,QL,8.333333,2,0,2555.67,181
3,MC,9.333333,1,0,2370.00,45
4,RBS,3.000000,0,0,3000.00,85
4,QL,6.666667,0,0,3000.00,152
4,MC,3.666667,1,1,2336.33,330
5,RBS,4.333333,0,1,2572.67,19
5,QL,6.000000,0,1,2402.67,14
5,MC,2.666667,2,1,1568.33,149
6,RBS,7.666667,0,1,2715.33,4
6,QL,8.333333,0,1,2355.33,4
6,MC,7.666667,2,0,1970.00,4
7,RBS,6.000000,0,0,3000.00,333
7,QL,5.000000,0,1,2415.67,315
7,MC,2.666667,2,1,1779.67,293
8,RBS,7.333333,0,0,3000.00,16
8,QL,9.000000,1,0,2675.33,18
8,MC,2.666667,2,1,1497.33,201
9,RBS,5.666667,0,0,3000.00,84
9,QL,0.333333,1,2,1183.67,322
9,MC,7.000000,0,2,1866.67,314
10,RBS,7.666667,0,0,3000.00,15
10,QL,5.000000,0,1,2408.33,189
10,MC,10.666667,2,0,2752.00,15
11,RBS,4.000000,0,1,2433.33,60
11,QL,6.333333,0,1,2395.00,91
11,MC,8.666667,0,1,2403.67,159
12,RBS,4.000000,0,0,3000.00,54
12,QL,9.333333,0,0,3000.00,169
12,MC,6.666667,3,0,1805.33,55
13,RBS,4.000000,1,1,2355.33,1
13,QL,8.333333,0,0,3000.00,155
13,MC,2.666667,2,1,1382.00,38
14,RBS,2.000000,1,1,2195.00,65
14,QL,4.333333,0,1,2355.33,55
14,MC,5.666667,2,0,2684.33,156
15,RBS,4.333333,0,0,3000.00,36
15,QL,5.333333,1,1,1919.33,40
15,MC,5.000000,2,1,1580.67,39
16,RBS,11.000000,0,0,3000.00,27
16,QL,8.000000,1,0,2466.33,28
16,MC,8.000000,2,0,2167.00,28
17,RBS,2.666667,1,1,2717.00,32
17,QL,10.333333,0,0,3000.00,230
17,MC,5.666667,1,0,2564.33,18
18,RBS,7.000000,0,0,3000.00,23
18,QL,3.666667,2,0,2159.33,56
18,MC,5.333333,2,0,2431.67,137
