seed,brain,catches_per_1000,thirst_deaths,hunger_deaths,avg_lifespan,first_catch
19,RBS,4.333333,0,0,3000.00,54
19,QL,6.000000,1,0,2386.33,60
19,MC,1.000000,1,2,1314.67,294
20,RBS,3.666667,0,0,3000.00,8
20,QL,6.333333,2,0,2270.67,8
20,MC,9.333333,1,0,2370.00,35
21,RBS,2.333333,2,0,2595.00,82
21,QL,6.666667,1,0,2915.33,232
21,MC,7.666667,0,1,2433.33,352
22,RBS,4.333333,1,0,2484.33,318
22,QL,7.666667,1,0,2716.67,17
22,MC,0.333333,1,2,1299.67,629
23,RBS,2.000000,0,2,1812.33,80
23,QL,10.000000,1,0,2355.33,43
23,MC,6.666667,1,0,2568.67,49
24,RBS,2.666667,2,0,2253.00,14
24,QL,4.333333,2,0,1971.00,14
24,MC,14.333333,1,1,1755.00,14
25,RBS,4.666667,0,0,3000.00,139
25,QL,9.333333,2,0,2146.00,54
25,MC,6.666667,0,1,2433.33,36
26,RBS,6.000000,1,0,2831.00,26
26,QL,6.000000,2,0,2264.67,26
26,MC,7.000000,0,0,3000.00,26
27,RBS,4.333333,1,0,2355.33,16
27,QL,4.666667,2,0,1710.67,22
27,MC,13.666667,0,2,1788.67,513
28,RBS,3.000000,0,1,2433.33,43
28,QL,6.666667,0,0,3000.00,327
28,MC,5.666667,2,0,2288.00,71
29,RBS,2.000000,0,1,2433.33,48
29,QL,11.333333,0,0,3000.00,69
29,MC,7.000000,1,1,2697.67,15
30,RBS,3.333333,0,2,2584.67,8
30,QL,6.000000,1,0,2826.33,319
30,MC,7.000000,1,0,2355.33,24
31,RBS,5.000000,0,0,3000.00,44
31,QL,8.666667,0,1,2892.67,115
31,MC,7.000000,2,0,2465.33,14
32,RBS,5.000000,0,0,3000.00,15
32,QL,5.666667,0,1,2433.33,198
32,MC,6.666667,1,0,2572.33,15
33,RBS,5.333333,1,0,2706.33,19
33,QL,5.666667,1,1,2630.67,19
33,MC,4.333333,3,0,1524.00,19
34,RBS,3.000000,1,0,2355.33,12
34,QL,7.000000,0,0,3000.00,140
34,MC,5.000000,2,0,1710.67,51
35,RBS,7.666667,1,0,2355.33,2
35,QL,6.666667,1,0,2682.00,20
35,MC,5.666667,1,0,2617.33,4
36,RBS,4.000000,0,0,3000.00,1
36,QL,9.333333,0,0,3000.00,1
36,MC,9.666667,2,0,2798.00,1
37,RBS,2.333333,2,0,2355.33,8
37,QL,3.666667,1,0,2573.00,412
37,MC,7.333333,0,1,2433.33,101
38,RBS,3.666667,0,0,3000.00,269
38,QL,10.333333,1,0,2959.67,49
38,MC,6.333333,1,0,2468.67,334
39,RBS,8.333333,1,0,3000.00,39
39,QL,2.333333,3,0,1310.33,39
39,MC,4.333333,0,2,1866.67,145
40,RBS,2.666667,0,1,2433.33,162
40,QL,9.333333,0,0,3000.00,189
40,MC,8.666667,0,1,2433.33,117
41,RBS,6.333333,0,0,3000.00,71
41,QL,7.666667,0,1,2433.33,157
41,MC,7.000000,2,0,2210.00,62
42,RBS,5.000000,1,0,2959.67,12
42,QL,7.333333,1,0,2933.33,11
42,MC,7.666667,2,0,1735.67,93
43,RBS,6.333333,0,0,3000.00,24
43,QL,6.666667,0,0,3000.00,24
43,MC,2.000000,2,1,1550.67,24
44,RBS,7.666667,0,0,3000.00,100
44,QL,12.333333,0,0,3000.00,91
44,MC,6.333333,1,0,2980.67,58
45,RBS,3.000000,0,1,2355.33,1
45,QL,6.000000,2,1,1546.00,1
45,MC,6.000000,0,2,1788.67,1
46,RBS,6.666667,0,0,3000.00,48
46,QL,9.666667,0,0,3000.00,350
46,MC,9.000000,1,0,2455.33,74
47,RBS,4.000000,2,0,2510.67,102
47,QL,7.333333,0,1,2355.33,21
47,MC,4.000000,3,0,1694.33,21
48,RBS,2.000000,0,1,2355.33,396
48,QL,5.333333,0,1,2355.33,242
48,MC,4.000000,0,2,1866.67,240
49,RBS,2.666667,1,0,2533.00,25
49,QL,10.666667,0,0,3000.00,127
49,MC,4.333333,2,1,1398.00,20
