seed,brain,catches_per_1000,thirst_deaths,hunger_deaths,avg_lifespan,first_catch
0,RBS,3.000000,0,0,3000.00,216
0,QL,10.000000,0,0,3000.00,35
0,MC,3.000000,3,0,1741.00,106
1,RBS,4.000000,0,0,3000.00,190
1,QL,6.000000,0,1,2355.33,575
1,MC,6.000000,1,0,2589.67,54
2,RBS,4.666667,0,1,2433.33,45
2,QL,4.333333,0,2,1764.00,45
2,MC,2.000000,1,1,1788.67,34
3,RBS,6.000000,0,0,3000.00,82
3,QL,10.666667,1,0,2551.00,233
3,MC,5.000000,1,0,2969.00,76
4,RBS,3.000000,0,1,2355.33,110
4,QL,6.333333,1,0,2799.67,133
4,MC,5.666667,0,1,2816.00,39
5,RBS,8.666667,1,0,2973.00,19
5,QL,0.333333,1,2,1271.00,15
5,MC,8.000000,0,0,3000.00,51
6,RBS,6.000000,0,0,3000.00,4
6,QL,5.666667,2,0,2299.33,4
6,MC,4.000000,1,0,2355.33,4
7,RBS,5.333333,0,0,3000.00,217
7,QL,5.333333,2,0,2506.33,582
7,MC,2.333333,1,0,2473.00,168
8,RBS,3.666667,0,1,2433.33,16
8,QL,10.000000,0,0,3000.00,16
8,MC,3.666667,0,1,2433.33,250
9,RBS,7.333333,0,0,3000.00,47
9,QL,5.333333,0,1,2355.33,155
9,MC,4.666667,1,1,2303.33,670
10,RBS,7.333333,0,0,3000.00,15
10,QL,13.333333,0,0,3000.00,59
10,MC,4.333333,1,1,2415.33,15
11,RBS,4.333333,0,1,2980.33,65
11,QL,5.333333,1,1,2051.00,78
11,MC,1.666667,2,1,1197.00,124
12,RBS,4.666667,0,0,3000.00,158
12,QL,8.333333,1,0,2355.33,43
12,MC,5.333333,1,0,2912.33,269
13,RBS,3.333333,1,0,2355.33,1
13,QL,8.666667,2,0,1924.00,33
13,MC,2.333333,3,0,1874.00,1
14,RBS,2.333333,1,2,2178.67,50
14,QL,8.000000,2,0,2803.33,44
14,MC,3.333333,2,0,1980.33,87
15,RBS,2.333333,0,1,2355.33,36
15,QL,4.666667,2,0,2190.67,43
15,MC,0.333333,1,2,1631.67,658
16,RBS,6.666667,1,0,2355.33,28
16,QL,9.333333,1,0,2702.00,28
16,MC,4.333333,1,0,2355.33,28
17,RBS,4.000000,1,0,2982.00,32
17,QL,11.333333,0,0,3000.00,43
17,MC,4.333333,2,0,2217.33,18
18,RBS,5.333333,0,0,3000.00,23
18,QL,5.000000,1,0,2639.67,78
18,MC,4.333333,0,0,3000.00,59
19,RBS,6.666667,0,0,3000.00,54
19,QL,4.333333,1,1,2066.00,63
19,MC,6.000000,0,0,3000.00,37
20,RBS,4.666667,0,0,3000.00,8
20,QL,13.333333,1,0,2533.00,8
20,MC,4.000000,2,0,2232.67,264
21,RBS,4.666667,0,1,2433.33,75
21,QL,4.666667,0,1,2410.67,266
21,MC,2.000000,2,0,2131.00,413
22,RBS,4.666667,1,0,2799.67,25
22,QL,4.333333,0,1,2355.33,25
22,MC,7.333333,0,1,2433.33,993
23,RBS,7.000000,1,0,2497.67,66
23,QL,7.666667,0,0,3000.00,83
23,MC,7.666667,1,0,2657.67,48
24,RBS,3.000000,1,0,2355.33,14
24,QL,8.000000,0,1,2355.33,14
24,MC,7.000000,0,0,3000.00,14
25,RBS,3.333333,0,1,2355.33,65
25,QL,6.333333,1,0,2764.00,65
25,MC,2.333333,1,1,2424.33,77
26,RBS,2.666667,1,1,2844.33,26
26,QL,7.333333,1,0,2715.33,26
26,MC,2.000000,1,1,1810.00,26
27,RBS,3.333333,0,2,2577.67,16
27,QL,9.666667,1,0,2355.33,17
27,MC,4.000000,2,0,1877.67,126
28,RBS,4.666667,0,0,3000.00,42
28,QL,4.333333,1,1,2286.33,26
28,MC,0.666667,0,2,1866.67,102
29,RBS,4.333333,0,0,3000.00,95
29,QL,10.666667,0,0,3000.00,58
29,MC,3.000000,2,0,2054.00,14
30,RBS,4.333333,1,0,2355.33,8
30,QL,6.000000,2,0,2462.00,111
30,MC,3.666667,1,0,2826.33,31
31,RBS,6.666667,0,0,3000.00,44
31,QL,10.333333,0,0,3000.00,19
31,MC,4.333333,0,1,2433.33,267
32,RBS,3.000000,1,0,2475.33,18
32,QL,5.666667,0,1,2355.33,77
32,MC,8.000000,0,1,2433.33,15
33,RBS,6.000000,0,0,3000.00,19
33,QL,7.333333,1,0,2728.67,19
33,MC,6.666667,0,1,2433.33,37
34,RBS,5.000000,1,0,2355.33,12
34,QL,7.000000,0,2,1806.33,335
34,MC,3.333333,1,1,2324.67,20
35,RBS,5.666667,0,0,3000.00,2
35,QL,7.333333,1,0,2564.33,21
35,MC,4.333333,2,0,2260.33,4
36,RBS,3.666667,0,0,3000.00,1
36,QL,9.000000,0,0,3000.00,1
36,MC,3.333333,1,0,2360.33,1
37,RBS,5.666667,0,0,3000.00,8
37,QL,4.666667,1,0,2493.00,279
37,MC,3.333333,2,0,2016.33,553
38,RBS,4.000000,1,1,2459.67,104
38,QL,6.000000,0,0,3000.00,136
38,MC,4.666667,1,1,1991.67,675
39,RBS,4.333333,1,0,2355.33,39
39,QL,7.333333,1,0,2551.00,39
39,MC,1.333333,3,0,1422.33,14
40,RBS,6.000000,0,0,3000.00,319
40,QL,7.333333,0,1,2355.33,180
40,MC,4.000000,0,0,3000.00,117
41,RBS,4.333333,0,0,3000.00,130
41,QL,11.666667,0,0,3000.00,114
41,MC,4.000000,1,0,2515.00,531
42,RBS,4.000000,1,0,2582.00,13
42,QL,13.333333,0,1,2433.33,12
42,MC,3.333333,1,1,2034.00,350
43,RBS,6.000000,0,0,3000.00,24
43,QL,9.000000,0,0,3000.00,24
43,MC,4.333333,0,1,2433.33,313
44,RBS,1.666667,3,0,1679.33,106
44,QL,10.666667,0,0,3000.00,94
44,MC,3.333333,1,0,2453.00,92
45,RBS,2.333333,0,2,1922.00,1
45,QL,7.333333,0,1,2355.33,1
45,MC,0.333333,1,2,1444.33,12
46,RBS,6.000000,0,1,2714.33,81
46,QL,6.666667,1,0,2844.33,71
46,MC,4.000000,2,1,2466.67,20
47,RBS,2.333333,0,1,2355.33,26
47,QL,4.666667,1,0,2604.33,223
47,MC,4.333333,1,0,2633.33,23
48,RBS,2.333333,0,1,2355.33,217
48,QL,5.000000,0,1,2355.33,387
48,MC,4.333333,1,1,2235.67,77
49,RBS,5.666667,0,0,3000.00,208
49,QL,3.666667,0,1,2408.33,135
49,MC,9.333333,1,0,2590.33,78
