seed,brain,catches_per_1000,thirst_deaths,hunger_deaths,avg_lifespan,first_catch
43,RBS,4.333333,2,1,2406.67,24
43,QL,6.000000,3,0,1855.67,25
43,MC,2.333333,3,0,1070.33,36
44,RBS,2.333333,0,2,2062.00,83
44,QL,3.000000,3,0,1354.67,90
44,MC,3.666667,3,0,1582.33,133
45,RBS,2.333333,0,1,2355.33,1
45,QL,2.666667,2,1,1252.67,1
45,MC,3.333333,1,2,1310.00,1
46,RBS,9.000000,1,0,3000.00,44
46,QL,3.000000,2,1,1153.00,42
46,MC,4.333333,1,1,1953.00,43
47,RBS,2.333333,1,1,1788.67,76
47,QL,13.333333,1,0,2355.33,73
47,MC,2.666667,3,0,1121.00,99
48,RBS,2.666667,0,1,2355.33,314
48,QL,2.333333,2,1,1564.33,122
48,MC,0.666667,2,1,1090.33,302
49,RBS,4.000000,1,0,2951.00,42
49,QL,5.666667,2,0,1710.67,93
49,MC,3.333333,3,0,1760.67,90
