seed,brain,catches_per_1000,thirst_deaths,hunger_deaths,avg_lifespan,first_catch
0,RBS,3.000000,2,1,2348.67,131
0,QL,2.666667,2,0,1846.33,159
0,MC,6.666667,2,0,2281.33,216
1,RBS,8.666667,0,1,3000.00,65
1,QL,1.333333,2,1,1144.00,197
1,MC,10.333333,0,2,1866.67,852
2,RBS,4.666667,0,1,2433.33,33
2,QL,0.333333,1,2,1222.00,81
2,MC,6.333333,0,2,1788.67,275
3,RBS,5.333333,0,0,3000.00,70
3,QL,3.333333,2,0,2311.33,78
3,MC,5.333333,1,0,2530.67,284
4,RBS,3.000000,0,1,2628.00,185
4,QL,10.666667,0,0,3000.00,145
4,MC,9.000000,1,0,2593.33,219
5,RBS,5.666667,0,0,3000.00,19
5,QL,5.000000,1,0,2391.33,23
5,MC,1.666667,2,1,1727.67,550
6,RBS,6.333333,0,0,3000.00,4
6,QL,4.000000,2,0,1850.00,4
6,MC,5.333333,3,0,1459.67,4
7,RBS,4.000000,0,0,3000.00,138
7,QL,1.000000,2,1,1326.00,359
7,MC,3.333333,1,1,1888.67,565
8,RBS,3.666667,1,0,2817.67,16
8,QL,5.666667,2,0,2307.00,32
8,MC,4.000000,1,1,1814.00,133
9,RBS,2.333333,0,1,2433.33,127
9,QL,5.666667,1,0,2589.67,204
9,MC,4.666667,0,2,1866.67,604
10,RBS,5.333333,0,0,3000.00,15
10,QL,5.000000,2,0,1719.33,15
10,MC,16.333333,2,0,2101.67,15
11,RBS,7.666667,1,0,3000.00,71
11,QL,3.666667,1,1,1788.67,48
11,MC,6.333333,2,0,2292.33,44
12,RBS,2.333333,1,0,2355.33,88
12,QL,4.333333,1,0,2462.00,51
12,MC,6.000000,0,1,2433.33,109
13,RBS,4.000000,0,1,2355.33,1
13,QL,6.333333,1,0,2355.33,1
13,MC,0.666667,1,2,1327.33,98
14,RBS,6.000000,0,0,3000.00,63
14,QL,4.000000,1,0,2750.00,107
14,MC,6.333333,1,0,2521.00,249
15,RBS,6.000000,0,0,3000.00,36
15,QL,2.000000,1,1,1710.67,258
15,MC,6.000000,1,1,2040.67,39
16,RBS,11.000000,0,0,3000.00,28
16,QL,5.000000,2,0,2208.67,28
16,MC,4.666667,2,1,1621.00,28
17,RBS,5.666667,0,0,3000.00,32
17,QL,5.333333,1,0,2453.67,60
17,MC,2.000000,2,1,1190.67,18
18,RBS,6.333333,0,0,3000.00,23
18,QL,3.666667,0,0,3000.00,53
18,MC,6.333333,0,1,2433.33,181
19,RBS,3.666667,0,1,2584.33,54
19,QL,3.000000,2,0,1774.00,139
19,MC,5.333333,2,0,1851.00,62
20,RBS,8.000000,0,0,3000.00,8
20,QL,3.333333,3,0,2010.33,8
20,MC,7.666667,3,0,2387.67,35
21,RBS,3.666667,0,0,3000.00,165
21,QL,4.000000,2,0,2024.67,158
21,MC,5.333333,2,0,2063.00,335
22,RBS,2.333333,0,1,2355.33,180
22,QL,2.333333,2,0,1808.33,147
22,MC,7.000000,2,0,2146.67,294
23,RBS,4.333333,1,0,2471.00,96
23,QL,3.666667,1,1,1986.67,28
23,MC,9.333333,1,0,2599.67,89
24,RBS,4.333333,1,0,2857.67,14
24,QL,9.000000,1,0,2355.33,42
24,MC,7.333333,1,1,1793.33,14
25,RBS,3.000000,0,0,3000.00,93
25,QL,1.000000,2,1,1181.33,29
25,MC,3.666667,2,1,1670.67,91
26,RBS,3.333333,1,0,2355.33,26
26,QL,3.000000,1,1,1913.00,26
26,MC,4.000000,1,1,1989.67,26
27,RBS,3.666667,1,0,2355.33,16
27,QL,1.666667,3,0,1674.33,18
27,MC,9.000000,0,1,2433.33,29
28,RBS,3.000000,0,0,3000.00,104
28,QL,3.000000,1,0,2675.33,166
28,MC,6.666667,1,1,2317.00,286
29,RBS,7.333333,0,0,3000.00,129
29,QL,3.333333,2,0,2343.67,51
29,MC,9.666667,2,0,1781.67,15
30,RBS,6.666667,0,0,3000.00,8
30,QL,5.666667,1,0,2355.33,170
30,MC,9.000000,1,0,2453.00,24
31,RBS,7.333333,0,0,3000.00,38
31,QL,7.666667,0,0,3000.00,95
31,MC,6.333333,2,1,1901.33,18
32,RBS,4.333333,0,0,3000.00,16
32,QL,3.000000,1,1,1984.00,19
32,MC,5.000000,1,1,2017.67,17
33,RBS,4.333333,1,2,2875.67,19
33,QL,10.000000,1,0,2384.00,19
33,MC,11.333333,1,0,2635.67,19
34,RBS,3.666667,1,1,2186.33,12
34,QL,2.333333,2,0,1933.00,159
34,MC,5.333333,2,0,2096.00,130
35,RBS,5.333333,1,0,3000.00,2
35,QL,3.333333,2,0,2245.67,2
35,MC,7.333333,1,0,2509.33,4
36,RBS,2.666667,1,0,2355.33,1
36,QL,6.333333,2,0,2304.33,1
36,MC,9.333333,3,0,1790.67,1
37,RBS,4.333333,0,0,3000.00,8
37,QL,5.666667,0,1,2433.33,214
37,MC,10.000000,1,1,2374.67,431
38,RBS,6.333333,0,0,3000.00,120
38,QL,5.000000,2,0,1710.67,67
38,MC,5.333333,1,1,2293.67,239
39,RBS,4.000000,0,0,3000.00,39
39,QL,5.666667,0,0,3000.00,39
39,MC,7.666667,2,0,2009.67,96
40,RBS,1.666667,2,0,2017.33,104
40,QL,4.666667,0,2,1710.67,153
40,MC,4.333333,2,0,2400.00,313
41,RBS,5.000000,0,0,3000.00,49
41,QL,4.000000,0,0,3000.00,53
41,MC,5.333333,2,0,2093.00,154
42,RBS,3.000000,1,0,2355.33,12
42,QL,6.333333,1,0,2355.33,36
42,MC,9.666667,2,0,2088.00,161
43,RBS,6.666667,0,0,3000.00,24
43,QL,3.666667,2,0,1710.67,61
43,MC,8.000000,0,2,1866.67,24
44,RBS,5.000000,0,0,3000.00,139
44,QL,3.000000,1,1,1780.00,183
44,MC,6.666667,0,2,1866.67,84
45,RBS,2.666667,0,1,2355.33,1
45,QL,1.666667,1,1,2066.67,1
45,MC,2.666667,2,1,1655.33,1
46,RBS,4.333333,0,0,3000.00,52
46,QL,13.000000,0,1,2433.33,66
46,MC,8.000000,1,1,2217.67,93
47,RBS,4.333333,1,0,2817.67,20
47,QL,6.666667,0,1,2370.67,157
47,MC,3.666667,2,1,1507.33,247
48,RBS,4.000000,0,1,2355.33,317
48,QL,5.333333,1,1,2068.33,68
48,MC,2.000000,1,2,1576.67,1181
49,RBS,4.666667,0,0,3000.00,43
49,QL,5.333333,0,1,2433.33,64
49,MC,6.000000,1,1,1788.67,20
